Date,Temp,total_precip,rain_avg_year,Sun,sun_avg_year
4/3/2017,7.35,1.09,3.78,8.3,5.46
4/4/2017,9.03,0.07,3.81,9.72,5.52
4/5/2017,11.48,0.01,3.85,6.94,5.57
4/6/2017,13.41,5.99,3.9,3.42,5.61
4/7/2017,13.43,13.96,3.95,2.04,5.63
4/8/2017,12.81,7.03,4,0.94,5.64
4/9/2017,11.56,3.26,4.05,2.67,5.65
4/10/2017,9.19,8.59,4.09,5.82,5.65
4/11/2017,9.77,17.69,4.13,1.56,5.65
4/12/2017,9.34,3.1,4.16,5.37,5.66
4/13/2017,8.19,0.46,4.19,8.36,5.66
4/14/2017,12.33,0.03,4.21,10.11,5.67
4/15/2017,14.34,2.68,4.23,5.53,5.67
4/16/2017,15.41,1.74,4.24,8.74,5.68
4/17/2017,14.10,27.09,4.24,3.76,5.7
4/18/2017,13.56,16.08,4.25,4.07,5.72
4/19/2017,11.69,2.6,4.24,6.9,5.73
4/20/2017,10.39,1.07,4.23,4.28,5.76
4/21/2017,11.82,0.68,4.21,4.15,5.79
4/22/2017,10.66,2.35,4.18,5.94,5.83
Grand Total,11.59,5.04,4.36,4.84,4.71
